frame,track_id,cls,conf,x1,y1,x2,y2
2,-1,0,0.7779,522.5,79.6,1228.5,1061.1
3,1,0,0.8542,506.1,83.6,1211.6,1063.8
4,1,0,0.9375,508.1,80.0,1218.8,1065.9
5,1,0,0.9132,533.7,72.8,1251.4,1066.8
6,1,0,0.8976,583.9,76.3,1298.4,1067.4
7,1,0,0.9367,611.9,73.9,1327.4,1067.7
8,1,0,0.9531,634.8,80.0,1346.2,1068.4
8,7,0,0.559,1417.2,305.3,1784.3,1063.8
9,1,0,0.9403,656.6,88.5,1363.0,1067.6
9,7,0,0.5998,1510.6,323.3,1869.0,1063.4
10,1,0,0.9276,669.3,94.0,1374.4,1067.6
10,7,0,0.3133,1577.7,320.9,1920.0,1059.5
11,1,0,0.9477,687.2,97.1,1393.6,1066.9
12,1,0,0.9572,701.6,108.8,1405.2,1067.6
13,1,0,0.9501,716.0,123.3,1416.1,1068.0
14,1,0,0.9513,720.8,135.6,1419.3,1070.0
15,1,0,0.9506,723.1,141.0,1423.3,1071.1
16,1,0,0.95,717.2,139.0,1421.7,1070.4
17,1,0,0.9308,706.2,130.7,1418.2,1069.4
18,1,0,0.9299,699.5,126.1,1415.4,1068.8
18,14,0,0.5435,1236.7,610.5,1589.3,1068.5
19,1,0,0.9226,690.5,108.9,1419.3,1068.2
19,14,0,0.6376,1300.6,606.1,1657.7,1069.3
20,1,0,0.9261,686.6,97.4,1424.5,1068.0
20,14,0,0.6645,1369.8,587.1,1744.0,1069.8
21,1,0,0.9257,682.8,82.3,1431.6,1067.6
21,14,0,0.3935,1456.4,585.5,1834.1,1069.6
22,1,0,0.9246,687.0,69.2,1441.7,1065.5
23,1,0,0.9357,701.2,72.4,1453.0,1066.7
24,1,0,0.9353,723.4,81.9,1467.1,1067.5
25,1,0,0.9352,741.7,89.0,1477.9,1068.2
26,1,0,0.9332,758.4,96.3,1485.7,1067.4
27,1,0,0.9357,765.7,106.1,1483.4,1067.4
27,15,0,0.4717,1560.2,702.3,1920.0,1072.1
28,1,0,0.9426,766.8,121.1,1471.3,1067.1
29,1,0,0.9463,759.4,131.4,1455.1,1068.2
30,1,0,0.9439,732.4,129.8,1427.3,1068.5
31,1,0,0.9351,697.6,110.8,1402.5,1067.1
31,17,0,0.7859,30.3,774.9,251.7,1068.6
32,1,0,0.9417,663.3,91.7,1379.0,1066.8
32,17,0,0.8281,15.0,638.6,340.5,1069.8
